"idx","calories","carb","category","cholesterol","content","fat","img","n_size","name","protein","sat_fat","size","sodium","sugar","trans_fat","where"
"1897","95kcal","390mg","분말/건조식품 > 스프","5mg","""스프 본래의 의미대로, 크루통을 담아 더욱 풍부해진 오뚜기 크루통 컵스프!1) 빵을 작게 잘라 구운 크루통을 넣어 스프를 끝까지 맛있고 바삭하게2) 감자를 넣어 특유의 식감이 살아있는 담백한 포테이토크림 스프""","2.4g","https://ottogi.co.kr/pds/product/2019-04-04_541246267[7].jpg","24g","크루통 컵스프 포테이토크림 72g","5g","0g","72g","1g","17g","1.4g","""건조감자분말19.6%(미국산),전분가공품(덴마크산:감자전분,덱스트린),크루통11.1%(영국산:밀가루,식물성유지,효모,로즈마리추출물),덱스트린,크림혼합분말9.8%(가당연유,전지분유,유청분말,야자경화유,물엿),분말유크림(유크림,유당,전지분유,유청분말,레시틴),감자분4.4%(감자:미국산),유당95,유장밀,정제소금,설탕,치킨스톡분말,까망베르치즈파우더,식물성분해단백,식물성유지,체다치즈파우더,양파분,베이컨시즈닝분말,복합아미노산,효모추출물,구운마늘분말,후추분,파슬리칩"""
"1275","45kcal","mg","조미소스/식품 > 흑초","mg","국내산 현미를 정통의 방식대로 6개월 이상 발효 숙성한 흑초 원액과 사과 엑기스를 함유하였습니다.  흑초의 부드러운 향미에 상큼한 사과의 맛을 더해 더욱 향긋한 흑초의 맛을 즐기실 수 있습니다.","g","https://ottogi.co.kr/pds/product/2017-04-28_341726623[2].jpg","","APPLE DARK VINEGAR","5g","g","""500ml, 900ml""","1g","10g","g","""DARK VINEGAR 98.3%[BROWN RICE DIASTIC CONCENTRATE(BROWN RICE:KOREA),SPIRIT,MALT CONCENTRATE,FERMENTED NUTRIENT],APPLE EXTRACT 1.4%(CHINA: APPLE100%,72Brix 기준),APPLE ESSENCE(FLAVOR) *총산도 4% 이상"""
"2517","820kcal","0mg","향신료류 > 참기름류","0mg","옛날 방식으로 볶아 고소함을 간직함","90g","https://ottogi.co.kr/pds/product/2023-05-11_440837901[7].jpg","100ml","옛날참기름(PET)","0g","0g","300ml","0g","2g","13g","""볶음참깨분 100% (외국산 : 베트남, 미얀마, 중국 등)"""
"741","470kcal","""1,650mg""","라면류 > 새우탕","7mg","""쫄깃하고 부드러운 면발에 새우, 오징어등 각종 해물이 잘 어우러진 시원한 해물탕 맛입니다.""","15g","https://ottogi.co.kr/pds/product/2021-04-29_160265843[5].jpg","1회 제공량 110g 당 함량","새우탕면 용기","2g","0g","110g","11g","73g","8g","""*면:소맥분(밀:미국산,호주산),변성전분,팜유(말레이시아산),글루텐,정제소금,유화유지,마늘시즈닝,감칠맛조미액,알파옥수수분말,난각분말,면류첨가알칼리제(산도조절제),비타민B2,녹차풍미유*스프류:정제소금(국산),새우양념분말,포도당,해물양념분말,새우맛시즈닝,설탕,해물탕양념분말,매운고추양념분말,간장베이스,복합지미분,알파옥수수분말,유지혼합분말,조미육수분말,향미증진제,칠리추출물,새우맛살어묵,건새우,건미역,건파밀,대두,계란,우유,쇠고기,오징어,새우,게,조개류(굴,홍합 포함) 함유돼지고기,닭고기,메밀,토마토,고등어,땅콩 혼입가능"""
"1399","210kcal","mg","레토르트/간편식 > 용기죽","mg","""1. Rich chicken stock with ginseng and jujube! OTTOGI CHICKEN RICE PORRIDGE!\n2. Full with chicken breast, just like you make at home.""","0g","https://ottogi.co.kr/pds/product/YY2001.jpg","Total Content 285g","CHICKEN RICE PORRIDGE","g","g","285g","6g","46g","g","""WATER,GLUTINOUS RICE(KOREA),RICE(KOREA),CHICKEN BREAST 3.5%[CHICKEN(KOREA),SALT(SALT: AUSTRALIA 93%,KOREA 7%)],CHICKEN EXTRACT,GREEN ONION,ONION,GARLIC,GINSENG PASTE 0.45%(KOREA),CHICKEN POWDER,HYDROLIZED VEGETABLE PROTEIN,CHICKENBEEF EXTRACT POWDER,JUJUBE 0.1%(KOREA),SALT,FLAVOR ENHANCER,WHITE PEPPER POWDER,BLACK PEPPER POWDER,D-TOCOPHEROL(MIXTURE)\n[CONTAINS SOYBEAN,WHEAT,PORK,BEEF,CHICKEN]\n- This product is produced in manufacturing facilities producing products containing milk, eggs, crab, shrimp, tomato, squid, shellfish (including oysters, abalone, and mussel)."""
"1755","370kcal","mg","곡류가공식품 > 오뚜기밥","mg","""1. Made with 100% Korean glutinous rice.\n2. Processing glutinous rice instead of ordinary rice, preserves the original nutrients of brown rice.""","3g","https://ottogi.co.kr/pds/product/2017-05-18_649318750[23].jpg","Total Content 210g(370kcal)","COOKED RICE (BROWN)","0g","g","210g","9g","77g","1g","""INGREDIENTS(EXLCUDING SOLVENT): GLUTINOUS BROWN RICE 99.7%(KOREA),ACIDITY REGULATOR(POTASSIUM CARBONATE,SODIUM POLYPHOSPHATE)"""
"423","305kcal","15mg","곡류가공식품 > 오뚜기밥","0mg","""1. 오뚜기밥은 품질 좋은 벼를 저온창고에 보관했다가 필요한 만큼만 도정하여 정성껏 지어서 맛과 영양이 살아있습니다.2. 정선된 쌀을 깨끗한 물로 씻어내고, 찰지고 먹기 좋게 수분을 조정하여 압력밥솥의 원리인 고온고압으로 밥을 짓고 뜸을 들이는 오뚜기밥은 쌀의 윤기가 살아있고 찰집니다.3. 먼지나 미생물이 침범할 수 없는 클린룸에서 완벽한 위생처리 과정을 거쳐 만들어지는 오뚜기밥은 보존료 없이도 실온에서 9개월간 보관할 수 있습니다.""","2g","https://ottogi.co.kr/pds/product/2023-02-02_301781936[54].jpg","총 내용량 210g(305kcal)","오뚜기밥","0g","0g","""210g, 200g""","6g","66g","0.8g","""쌀(국산),산도조절제"""
"402","120kcal","1040mg","조미소스/식품 > 케R","0mg","""1. 오뚜기 케R은 진한 케R으로 우리 입맛에 맞는 우리의 자랑 대한민국 대표 케R입니다.2. 새콤 달콤한 오뚜기 케R은 빨갛게 잘 익은 신선한 토마토만을 사용하여 만들어 깊고 진한 맛을 더했습니다.3. 오뚜기 토마토 케R의 붉은색은 토마토에 들어 있는 라이코펜(lycopene) 성분입니다.4. 샐러드, 볶음밥, 계란후라이, 튀김류 등 어느 음식과도 잘 어울립니다.""","0g","https://ottogi.co.kr/pds/product/2017-05-19_808148676[15].jpg","100 g 당 함량","토마토케R","21g","0g","""200g, 300g, 500g, 800g, 1Kg""","1g","29g","0g","""토마토페이스트40.8%[외국산(미국,칠레,중국 등)], 정제수, 물엿, 설탕, 발효식초(주정, 발효영양원), 정제소금(국산), 잔탄검, 케R향신료[천연향신료(육두구:인도네시아산), 양파분(미국산)] [토마토 함유] *토마토페이스트 함량은 가용성고형분 25%기준임."""
"1908","105kcal","450mg","분말/건조식품 > 스프","10mg","""스프 본래의 의미대로, 크루통을 담아 더욱 풍부해진 오뚜기 크루통 컵스프!1) 빵을 작게 잘라 구운 크루통을 넣어 스프를 끝까지 맛있고 바삭하게2) 4종의 치즈의 다채로운 풍미를 담은 콰트로 치즈 스프""","3g","https://ottogi.co.kr/pds/product/2018-12-12_987459029[16].jpg","","크루통 컵스프 콰트로치즈 72g","4g","0g","72g","1g","18g","1.6g","""전분가공품(덴마크산:감자전분,덱스트린),덱스트린,크루통11.1%(영국산:밀가루,식물성유지,효모,로즈마리추출물),분말유크림[유크림(이탈리아산),유당(미국산),전지분유,유청분말,레시틴],설탕,체다치즈파우더4.4%(덴마크산),복합조미식품,식물성크림,유당95, 정제소금,감자분말,유장밀,식물성유지,치킨스톡분말,까망베르치즈0.9%(덴마크산),에멘탈치즈분말0.9%(덴마크산),고다치즈분말0.9%(덴마크산),식물성분해단백,양파맛분말,파마산믹스파우더,양파분,향미증진제,후추분,혼합야채분말,파슬리칩"""
"1394","275kcal","1630mg","냉장/냉동식품 > 냉동용기간편식","0mg","Spicy Vietnam rice noodle with beef leg stock.","2g","https://ottogi.co.kr/pds/product/mm200x2371.jpg","Per Serving(1EA)(200g)","VIETNAM RICE NOODLE (SPICY)","4g","0g","200g","6g","58g","1.3g","""RICE NOODLE 33.33%(THAILAND)[RICE 90%,WATER 10%],WATER,GREEN SPROUT(MUNG BEAN:CHINA),ONION(KOREA),BEEF SEASONING CONCENTRATE[LOW FRUCTOSE,SALT,DEXTRIN,L-MONOSODIUM GLUTAMATE(FLAVOR ENHANCER),RADISH EXTRACT POWDER,BEEF],SRIRACHA CHILI SAUCE,SUGAR,RED PEPPER,SALT,HYDROLIZED VEGETABLE PROTEIN,RED PEPPERRED PEPPER SEED OIL,BEEF LEG BONE STOCK PASTE,KELP EXTRACT POWDER,GINGER,GREEN ONION CONCENTRATE,MIXED FORMULATION(MODIFIED STARCH,SUGAR,DEXTRIN),LEMON CONCENTRATE,SPICE,FLAVOR ENHANCER,RED PEPPER,L-MONOSODIUM GLUTAMATE(FLAVOR ENHANCER),PAPRIKA EXTRACT COLORANT,CINNAMON(FLAVOR)"""
"1852","kcal","mg","냉장/냉동식품 > 냉동용기간편식","mg","오감이 만족하는 맛있는 안주 한 접시 오감포차쫄깃한 닭근위의 식감이 살아있어요!","g","https://ottogi.co.kr/pds/product/2022-04-26_980935806[21].jpg","150g","오감포차 닭근위마늘볶음","g","g","150g","g","g","g","""닭근위 79.1%(국산), 마늘 9.7%(국산), 청양고추(국산), 카놀라유, 참기름, 정제소금, 변성전분, 주정, 후추분, 양파맛분말, 설탕, 덱스트린, 산도조절제1, 산도조절제2, 산도조절제3, 향미증진제"""
